fplId,webName,position,team_fpl_id,team,nowCost,status,chanceOfPlayingNextRound,news,newsAddedAt,removed,form,pointsPerGame,epNext,epThis,expectedGoalsPer90,expectedAssistsPer90,expectedGoalsConcededPer90,defensiveContributionPer90,savesPer90,startsPer90,penaltiesOrder,directFreekicksOrder,cornersOrder,seasonMinutes,seasonStarts,updatedAt
90,Hickey,DEF,4,BRE,45,a,,,,f,1.00,1.00,1.70,1.70,0.00,0.00,0.64,0.00,0.00,0.000,,,,14,0,2026-08-26 14:15:00.854
91,Pinnock,DEF,4,BRE,45,a,,,,f,0.00,0.00,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.855
92,Ji-soo,DEF,4,BRE,45,a,,,,f,0.00,0.00,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.856
93,Schuster,DEF,4,BRE,45,a,,,,f,0.00,0.00,1.70,1.70,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.857
94,Schade,MID,4,BRE,60,a,,,,f,3.00,3.00,2.20,2.20,0.52,0.01,0.57,9.00,0.00,1.000,2,,,90,1,2026-08-26 14:15:00.857
95,O.Dango,MID,4,BRE,65,a,,,,f,3.00,3.00,2.30,2.30,0.07,0.40,0.64,8.18,0.00,1.360,,,2,66,1,2026-08-26 14:15:00.858
96,Damsgaard,MID,4,BRE,55,a,,,,f,1.00,1.00,2.00,2.00,0.00,0.71,0.64,25.71,0.00,0.000,,3,3,14,0,2026-08-26 14:15:00.86
97,Jensen,MID,4,BRE,55,a,,,,f,6.00,6.00,2.00,2.00,0.11,0.46,0.64,6.82,0.00,1.360,3,2,1,66,1,2026-08-26 14:15:00.861
98,Janelt,MID,4,BRE,50,a,,,,f,9.00,9.00,1.50,1.50,0.39,0.17,0.57,13.00,0.00,1.000,,,4,90,1,2026-08-26 14:15:00.862
99,Milambo,MID,4,BRE,50,i,0,Knee injury - Unknown return date,2026-07-23 12:01:23.384,f,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.864
100,Carvalho,MID,4,BRE,50,a,100,,2026-08-18 13:58:17.442,f,0.00,0.00,1.50,1.10,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.864
101,Henderson,MID,6,CHE,50,d,75,Wrist injury - 75% chance of playing,2026-08-09 09:30:07.136,f,0.00,0.00,1.10,1.10,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.909
102,Yarmoliuk,MID,4,BRE,50,a,,,,f,1.00,1.00,1.50,1.50,0.16,0.00,0.39,23.48,0.00,0.000,,,,23,0,2026-08-26 14:15:00.865
103,Dasilva,MID,4,BRE,50,a,,,,f,0.00,0.00,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.866
104,Onyeka,MID,7,COV,50,a,,,,f,2.00,2.00,1.50,1.50,0.00,0.01,1.88,9.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.95
105,Anthony,MID,4,BRE,60,a,,,,f,1.00,1.00,2.20,2.20,0.12,1.37,0.39,31.30,0.00,0.000,,,,23,0,2026-08-26 14:15:00.867
106,Thiago,FWD,4,BRE,80,a,,,,f,0.00,0.00,2.50,2.50,1.10,0.09,0.55,5.49,0.00,1.100,1,,,82,1,2026-08-26 14:15:00.868
107,Furo,FWD,4,BRE,45,a,,,,f,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.869
108,Wilson,FWD,4,BRE,55,a,,,,f,1.00,1.00,1.80,1.80,0.39,0.51,0.90,0.00,0.00,0.000,,,,7,0,2026-08-26 14:15:00.869
109,Verbruggen,GKP,5,BHA,45,a,,,,f,6.00,6.00,1.90,1.90,0.00,0.00,0.29,0.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.87
110,Rushworth,GKP,7,COV,45,a,,,,f,1.00,1.00,1.90,1.90,0.00,0.01,1.88,0.00,2.00,1.000,,,,90,1,2026-08-26 14:15:00.95
111,Steele,GKP,5,BHA,40,a,,,,f,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.000,,,,0,0,2026-08-26 14:15:00.872
112,Van Hecke,DEF,19,TOT,50,a,,,,f,1.00,1.00,2.20,2.20,0.00,0.03,3.87,9.00,0.00,1.000,,,,90,1,2026-08-26 14:15:01.646
113,F.Kadıoğlu,DEF,5,BHA,45,d,75,Unspecified injury - 75% chance of playing,2026-08-23 13:00:07.595,f,0.00,0.00,1.30,1.70,0.00,0.00,0.00,0.00,0.00,0.000,,,3,0,0,2026-08-26 14:15:00.872
114,Boscagli,DEF,5,BHA,45,a,,,,f,6.00,6.00,1.70,1.70,0.00,0.04,0.29,6.00,0.00,1.000,,,,90,1,2026-08-26 14:15:00.873
